UniProtKB Gene Name symbol,HGNC ID
SLC25A26,20661
DKFZP434E079,20661
,
,19121
,42488
,42682
,42548
,39256
,42684
,39261
,41973
,
,39835
,39547
,39910
,42611
,42009
,39909
,42670
,
,42612
,39681
,46601
,42719
,39807
,39839
,37631
,36526
,43701
,42552
,
,42492
,42737
,42495
,49102
,39907
,
,39808
,39838
,41919
,37313
,39905
,39481
,39906
,39579
,30934
,
,43710
,39368
,24407
,46180
,39809
,42644
,32540
,42679
,
,42643
,39262
,
,
,
,42625
,42484
,
,36249
,
,42804
,33315
,42613
,39609
,39707
,
,
,35482
,
,35196
,37956
,42626
,38282
,
,
,39844
,40229
,
,36369
,39935
,
,38474
,42813
,24409
,49047
,39661
,49119
,46076
,36625
,40672
BTC,1121
,
,
,39811
,39719
,46305
,
,42573
,42568
,43696
,
,39581
,46757
GAST,4164
,42480
,42748
,37774
,42502
,42641
,42627
,38013
,32879
,39723
,39104
,
,39812
,39570
,
,42786
,36761
,42490
,49027
,39841
,39960
,39706
,39705
,38350
,36444
,39894
,39961
,39893
,39962
,42745
,
,
,10099
,43697
,32617
,
,39419
,42560
,49122
,39399
,42478
,
,42553
,36515
,7924
HAP1,4812
,
,42563
,39901
,43698
,43678
,46288
,
,39724
,39592
,36368
,39932
,2275
,3194
,42572
,42743
,37926
,42543
,32380
,20251
,42744
,42635
,
,
,42504
,40923
,39299
,41532
,4147
,39278
,
,42479
,40924
,41567
,35808
,39211
,39210
,42774
,43722
,40237
,43679
,44368
,
,
,43699
,42687
,
,42711
,
,38809
,42713
,34089
,
,42554
,41948
,30020
,
,42762
,
,39852
,35522
,30243
,42761
,42500
,49061
JUP,6207
,
,13477
,
,42614
,39695
,42809
,39694
,39402
,9654
,43691
,42780
,42727
,39508
,39269
,42784
,
,
,
,
,35335
,
,41503
,42615
,39815
,39914
,43680
,39913
,
,42692
,
,49104
,49105
LEPREL4,
,38248
,42637
,42728
,
,44394
,17236
,39690
,
,42628
,42724
,
,30486
,
,46799
,
,
,39849
,49114
,
,39725
,40156
,11053
,
,
,
,5408
,36313
,48481
,43711
,
,17239
,
,39891
,
,
,39663
,275
,1244
,
,42766
,
,42690
,47735
,45871
,40717
,42481
,3637
,42758
,41408
,6435
,39816
,38739
,10422
,
,
,41453
FKBP10,18169
,42672
,19690
,
,
,
,42734
,9254
,42733
,
,49110
,
,
,49031
,
,49032
,
,
,40645
,23126
,
,40873
,
,5569
,39825
,
,
,
,40225
,39208
,5633
,
,
,6542
,5512
,39917
,
,39889
,5506
,39890
,43692
,5500
,39826
,5493
,43694
,16023
,
,
,5487
,
,46263
NT5C3B,28300
,
,
,35387
,42802
,
,
,
,
,
,
,42521
,
,39680
,42800
,
GOLGA6L6,37225
,
,42805
,
,43709
,
,46981
,39938
,
,37697
,43455
,
,16756
,41534
,42037
,42536
,39292
,49048
,
,
,42782
,42561
IGHV1OR21-1,38040
,
,42647
,
,37786
,39582
,39447
KLHL10,18829
POTEB2,48327
POTEB,48327
,49116
,39963
,39726
,36842
,37924
,
,42619
,35561
,
,49042
,46625
,42602
,
,35132
,
KLHL11,19008
,43721
,13088
,42772
,39637
,42688
,48548
,39266
,
,42546
,
,5513
,39964
,39249
,5507
,39687
,3191
,5501
,39708
,5494
,
,
,38301
,12411
,34064
,39853
SECISBP2L,28997
,49098
,
,5488
,42049
,49100
,42493
DKFZP547L112,
,
,42620
,42770
,39682
,35386
,32877
,42356
POTEB2,33734
POTEB,33734
TPTE,12023
ACLY,115
,24408
,20513
,39729
,38249
,
,46613
,
,1448
,
,
,39257
,
,31833
,
,
,42547
,
,
,12415
,
,
,8409
,
,
,31310
,
,31001
,8410
,
,
,
,
,
,43495
,46531
,42564
,
,39207
,31695
,36938
,
,
,18977
,
,
,46113
,49029
,
,39442
,36745
TTC25,25280
,3558
,2862
,49044
,42763
,7922
,39443
,
,19052
,42729
,42648
,
,42397
,
,42396
,
,
,48252
,
POTED,23822
,
,26981
,31087
CNP,2158
,
,26399
,39263
LDLRAD4,1224
,42718
,42674
,
,41492
,
,
,
,49111
,
,
,
,
DNAJC7,12392
,39734
LOC375108,18821
LIPI,18821
,
,42739
,42047
,
,46065
,42621
,
,42559
,
,
,
,32621
,
RBM11,9897
OR4M2,15373
,
NKIRAS2,17898
OR4N4,15375
,43686
,
,
,5563
,
IGHV4OR15-8,5658
,
,
HSPA13,11375
,33722
,
,39204
,42795
,39270
,42603
,37444
,39930
,38036
,49049
,
,423
DHX58,29517
,
,39898
,
,43389
,46304
,
,42623
,39851
,43707
,42506
,42558
COPS2,30747
SAMSN1,10528
,16319
KAT2A,4201
,
,
,15342
,24341
HSPB9,30589
,3716
,40289
,33554
,46716
,39738
,36544
RAB5C,9785
,
TUBGCP5,18600
,42781
,43706
,39965
,
,39213
,
,
,42652
,
,42778
,
,42015
,41977
,49120
NRIP1,8001
NRIP1_VAR1,8001
NRIP1_VAR2,8001
,42811
,
,
,30160
,36169
,
,42550
,
,9809
,31466
,42486
,2293
,31731
,39202
,
,42039
RMDN3,25550
,31732
,
,8823
,
,
,
,42498
,37288
,47371
,
,34058
,
,
,38964
,
,
,
,
,
,
,
,47820
,
,13748
,
,
,
,23755
,
,1283
,
,
,
,31545
,47130
,35957
,35460
,
,
,18487
,16019
,
,39652
,36100
,3641
MILR1,27570
,47965
,
,
,
,
,45768
GCHFR,4194
,43792
,
,
,39966
,47086
,
,42604
,
,
,
,
,48013
,39967
,
,47889
,8892
,
,
,
,
,
,
,
,
POLG2,9180
,
,43353
,
,
,
,
,31015
,26250
DNAJC17,25556
,
FAM210A,28346
,
,4686
USP25,12624
,
,
,
,41575
,4561
,
,
,42605
,42693
,42036
,49064
DDX5,2746
,43499
,
,
